"","logFC","CI.L","CI.R","AveExpr","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","P value","Adjusted P value","negLog10rawP","negLog10adjP","sig.pval.fct","sig.FDR.fct"
"Q9D7J9_Echdc3_1463",0.418194344362959,-0.159795413580329,0.996184102306247,18.026428894416,1.47277656430053,-6.47952958491422,0.15041019402474,0.259358866784904,0,0,0.15041019402474,0.259358866784904,0.822722728513904,0.586098900051614,"nonDE","nonDE"
"P47811_Mapk14_1464",-0.136610520616706,-0.290800899656049,0.017579858422636,21.3890325669442,-1.80307672640888,-5.96604812077,0.0805845445844207,0.159841684179119,0,0,0.0805845445844207,0.159841684179119,1.09374824411714,0.796309953130578,"nonDE","nonDE"
"Q61792_Lasp1_1465",0.159814352232431,-0.0771297103016484,0.39675841476651,22.0188413263725,1.37269032228015,-6.61731858704111,0.179185088543865,0.298469686392951,0,0,0.179185088543865,0.298469686392951,0.746698134364563,0.525099770734908,"nonDE","nonDE"
"P62806_Hist4h4_1466",-1.63005106631168,-1.97280555822954,-1.28729657439382,26.8646279038487,-9.68048034500912,15.0587436096938,4.15545438590363e-11,3.00231579381538e-09,-1,-1,4.15545438590363e-11,3.00231579381538e-09,10.3813814805439,8.52254362911528,"downReg","downReg"
"Q9ERG2_Strn3_1467",-0.570387705339343,-0.890954915000274,-0.249820495678411,18.9885160843727,-3.62180287713587,-1.89595346913529,0.000982558198496241,0.00436860491331405,0,0,0.000982558198496241,0.00436860491331405,3.00764171623273,2.35965723011904,"nonDE","nonDE"
"Q9D924_Isca1_1468.1",-0.00489210810445684,-0.216963839654111,0.207179623445197,21.4094425461807,-0.046946216830596,-7.55760323114208,0.962841215619489,0.975670095771501,0,0,0.962841215619489,0.975670095771501,0.0164453274819714,0.0106970059052515,"nonDE","nonDE"
"I3ITR1_AK157302_1468.2",-0.00489210810445684,-0.216963839654111,0.207179623445197,21.4094425461807,-0.046946216830596,-7.55760323114208,0.962841215619489,0.975670095771501,0,0,0.962841215619489,0.975670095771501,0.0164453274819714,0.0106970059052515,"nonDE","nonDE"
"Q9CQB5_Cisd2_1469",0.431502326407706,-0.230391061947115,1.09339571476253,19.6616557215569,1.32700925245275,-6.67732789754691,0.193734052273093,0.315431780884078,0,0,0.193734052273093,0.315431780884078,0.712794037440249,0.501094552074814,"nonDE","nonDE"
"Q9QYB5_Add3_1470",0.284800096082677,0.0242857860655211,0.545314406099832,19.730540897834,2.22503240220916,-5.19013381745063,0.0331013484475976,0.0779013819328641,0,0,0.0331013484475976,0.0779013819328641,1.48015431403629,1.1084548380849,"nonDE","nonDE"
"P62748_Hpcal1_1471",-0.246738459949086,-0.588051665993032,0.0945747460948609,20.2321177853525,-1.47150793998952,-6.48132929660519,0.150750872515666,0.259791306839758,0,0,0.150750872515666,0.259791306839758,0.821740165571609,0.585375385421147,"nonDE","nonDE"
"Q52KR3_Prune2_1472",-0.0325072446630337,-0.182759055766231,0.117744566440164,22.5227148412327,-0.440299083693514,-7.45940511995662,0.662613038003578,0.764146719804605,0,0,0.662613038003578,0.764146719804605,0.178740022910291,0.116823246811874,"nonDE","nonDE"
"P56380_Nudt2_1473",-0.352542672427742,-0.489269295628398,-0.215816049227085,23.3104646412085,-5.24742139474481,2.70033987693992,9.07806618637142e-06,7.60796273664594e-05,0,0,9.07806618637142e-06,7.60796273664594e-05,5.04200665522711,4.11873162321426,"nonDE","nonDE"
"Q8BGA9_Oxa1l_1474",0.303873222030155,0.152703483926821,0.45504296013349,22.739691078729,4.09086273509436,-0.616243722683973,0.000262528384925777,0.00143422879477409,0,0,0.000262528384925777,0.00143422879477409,3.58082373320971,2.84338156248835,"nonDE","nonDE"
"P84096_Rhog_1475",-0.139385667044991,-0.703494216949948,0.424722882859966,16.6414120058768,-0.502960973587891,-7.42921865020571,0.618376109981797,0.728836442841514,0,0,0.618376109981797,0.728836442841514,0.2087472970708,0.137369920160629,"nonDE","nonDE"
"O70433_Fhl2_1476",-1.21710647742578,-1.48479715461278,-0.94941580023877,22.7568469891591,-9.25393056553951,13.985760547627,1.19943501842562e-10,7.07421878214297e-09,-1,-1,1.19943501842562e-10,7.07421878214297e-09,9.92102327575253,8.1503215130245,"downReg","downReg"
"Q68EF0_Rab3ip_1477",0.139824480273784,-0.0680906888052661,0.347739649352835,20.2743200143065,1.36862470536259,-6.62273625676142,0.180432485486232,0.300201429507893,0,0,0.180432485486232,0.300201429507893,0.743685268361186,0.522587244051737,"nonDE","nonDE"
"Q9D0A3_Arpin_1478",0.0147670109594671,-0.131280600041172,0.160814621960107,22.7257625667708,0.205771620221585,-7.53699060368789,0.838243129409334,0.894249776298625,0,0,0.838243129409334,0.894249776298625,0.0766299975434514,0.0485411598200718,"nonDE","nonDE"
"Q61553_Fscn1_1479",-0.170395982237821,-0.333897362990524,-0.00689460148511836,23.1881917132395,-2.12092476437074,-5.39303658931095,0.0415882760276657,0.093170633891437,0,0,0.0415882760276657,0.093170633891437,1.38102908221236,1.03072094975507,"nonDE","nonDE"
"P61164_Actr1a_1480",-0.665430142941663,-1.00955093015455,-0.321309355728778,18.1549859426169,-3.936138890149,-1.04854634247975,0.000409784018253195,0.00211100857888009,0,0,0.000409784018253195,0.00211100857888009,3.38744498326961,2.67551000176922,"nonDE","nonDE"
